etapa,coluna,count,mean,std,min,25%,50%,75%,max,valores_ausentes,valores_unicos
antes,HeartDiseaseorAttack,253680.0,0.09418558814254178,0.29208731475075544,0.0,0.0,0.0,0.0,1.0,0,2
antes,HighBP,253680.0,0.4290011037527594,0.49493446268990143,0.0,0.0,0.0,1.0,1.0,0,2
antes,HighChol,253680.0,0.4241209397666351,0.49420980465688485,0.0,0.0,0.0,1.0,1.0,0,2
antes,CholCheck,253680.0,0.9626695048880479,0.1895707543627255,0.0,1.0,1.0,1.0,1.0,0,2
antes,BMI,253680.0,28.382363607694735,6.608694201406008,12.0,24.0,27.0,31.0,98.0,0,84
antes,Diabetes_012,253680.0,0.29692131819615264,0.6981597284091015,0.0,0.0,0.0,0.0,2.0,0,3
antes,Smoker,253680.0,0.44316855881425415,0.4967606667785632,0.0,0.0,0.0,1.0,1.0,0,2
antes,HvyAlcoholConsump,253680.0,0.05619678334910123,0.2303017888952292,0.0,0.0,0.0,0.0,1.0,0,2
antes,PhysActivity,253680.0,0.7565436770734784,0.42916904339704554,0.0,1.0,1.0,1.0,1.0,0,2
antes,Age,253680.0,8.032119205298013,3.054220434168484,1.0,6.0,8.0,10.0,13.0,0,13
antes,Sex,253680.0,0.4403421633554084,0.49642916311850516,0.0,0.0,0.0,1.0,1.0,0,2
antes,Stroke,253680.0,0.04057079785556607,0.19729409940016232,0.0,0.0,0.0,0.0,1.0,0,2
antes,GenHlth,253680.0,2.5113923052664773,1.0684773622803934,1.0,2.0,2.0,3.0,5.0,0,5
antes,DiffWalk,253680.0,0.16822374645222327,0.374065594732803,0.0,0.0,0.0,0.0,1.0,0,2
depois,HeartDiseaseorAttack,150740.0,0.04907788244659679,0.2160313715739841,0.0,0.0,0.0,0.0,1.0,0,2
depois,HighBP,150740.0,0.3220180443147141,0.4672514010655715,0.0,0.0,0.0,1.0,1.0,0,2
depois,HighChol,150740.0,0.35628897439299456,0.4789036047098347,0.0,0.0,0.0,1.0,1.0,0,2
depois,CholCheck,150740.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,1
depois,BMI,150740.0,27.116657821414357,5.026460987003757,12.0,24.0,27.0,30.0,95.0,0,68
depois,Diabetes_012,150740.0,0.03306355313785326,0.2437390435973922,0.0,0.0,0.0,0.0,2.0,0,3
depois,Smoker,150740.0,0.3727809473265225,0.48354613405933555,0.0,0.0,0.0,1.0,1.0,0,2
depois,HvyAlcoholConsump,150740.0,0.0008093405864402282,0.028437491434052053,0.0,0.0,0.0,0.0,1.0,0,2
depois,PhysActivity,150740.0,0.8926694971474062,0.3095340072049531,0.0,1.0,1.0,1.0,1.0,0,2
depois,Age,150740.0,7.58858962451904,3.009020788498172,1.0,5.0,8.0,10.0,13.0,0,13
depois,Sex,150740.0,0.4324067931537747,0.49541173439315633,0.0,0.0,0.0,1.0,1.0,0,2
depois,Stroke,150740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
depois,GenHlth,150740.0,2.151764627836009,0.83302766093333,1.0,2.0,2.0,3.0,5.0,0,5
depois,DiffWalk,150740.0,0.003920658086771925,0.062492499026234584,0.0,0.0,0.0,0.0,1.0,0,2
